0.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000011e-01,7.594142929580827150e-03,-1.757159845417022581e-01,-1.355544317572399127e-03,-9.844106786648083585e-01,0.000000000000000000e+00,-1.704421342823197738e-01,1.559308250349570879e-01,-4.184253286120774851e-01,3.640617116376769213e-01,-1.612684522313402313e-01,-3.405389602679526617e-01,-1.712000151755736221e-01,-1.237334759951570495e-01,5.699999999999999512e-01,2.829177748233819290e-01,-2.060285751596356296e-01,-7.874039496747954614e-02
3.590992039871196417e-02,-3.162274510839087934e-19,2.200000000000000011e-01,1.744235886713008110e-02,1.642894252387849530e-01,-2.905535556089258731e-03,9.862536726091275519e-01,0.000000000000000000e+00,-2.394705130183283071e-01,9.804359716803000280e-02,-4.683075292760852659e-01,2.905264173897139646e-01,-3.283032831235505600e-01,-2.446219836036722661e-01,-1.836888535200575101e-01,-9.762424313835234291e-02,5.699999999999999512e-01,2.572554111806522048e-01,-5.015270344908086264e-02,3.900834928475482161e-02
7.108553146273834111e-02,-3.836583170820633831e-19,2.200000000000000011e-01,3.123195087844482520e-02,1.475861476675594530e-01,-4.662816024244856306e-03,9.885449673169652840e-01,0.000000000000000000e+00,-2.870353098863405727e-01,4.142595433720715897e-02,-5.067952305384734180e-01,2.340570806281158933e-01,-5.113934748037277656e-01,-1.061617455910972008e-01,-2.502018577323987802e-01,-3.629905411841708590e-02,5.699999999999999512e-01,2.395575536040672748e-01,4.547005312865565717e-03,2.898517493147799162e-01
1.066848941788117594e-01,4.945507974691362027e-20,2.200000000000000011e-01,4.044420939579795871e-02,1.341476100459038645e-01,-5.479629885272632728e-03,9.901205271590127754e-01,0.000000000000000000e+00,-3.271001298941634272e-01,-4.285514496082267616e-02,-5.232980274429368528e-01,1.883556782363311199e-01,-7.214696599178624936e-01,7.230358922153423684e-02,-3.398177633028087730e-01,3.571158569048701881e-02,5.699999999999999512e-01,2.301607103502943119e-01,-6.342050214914965456e-02,5.699999999999999512e-01
1.417004174536839467e-01,4.796675971590797509e-19,2.200000000000000011e-01,4.383147653016361556e-02,1.166067046257311529e-01,-5.151238486337708644e-03,9.921971290240514385e-01,0.000000000000000000e+00,-3.573719509727378840e-01,-1.401729854888645599e-01,-5.136696070567206007e-01,1.528946698021710904e-01,-9.286561166804121470e-01,2.879834499597735409e-01,-4.352479398525169740e-01,2.009556203033484867e-01,4.860383305688726896e-01,2.300456625144186029e-01,-6.144728812792090572e-02,5.699999999999999512e-01
1.759186075030055585e-01,8.228141164882181853e-19,2.200000000000000011e-01,4.350128175524797802e-02,9.502916856986902416e-02,-4.156690644542465618e-03,9.945148654140146816e-01,0.000000000000000000e+00,-3.819407391436245858e-01,-2.598411164245086336e-01,-4.612637136434510898e-01,1.370629139510494698e-01,-1.134277272059787567e+00,5.510283712680886792e-01,-5.408960664874400415e-01,3.701571169831635033e-01,5.023871042078605770e-02,2.356305899755294087e-01,-2.088610701394915184e-02,5.699999999999999512e-01
2.099030849863299797e-01,9.593906835302162833e-19,2.200000000000000011e-01,4.320080756471145200e-02,7.220474029110177105e-02,-3.130419592915496818e-03,9.964488778549673853e-01,0.000000000000000000e+00,-4.165950528490195981e-01,-4.059686652558052167e-01,-3.673705708890451782e-01,1.323412538821489293e-01,-1.239361076403018735e+00,5.699999999999999512e-01,-5.699999999999999512e-01,4.251603264508205249e-01,-2.360382919202259899e-01,2.704234207717322591e-01,5.334899934415745365e-02,5.699999999999999512e-01
2.435278311619077929e-01,3.952357437313843207e-19,2.200000000000000011e-01,3.993647283383889440e-02,4.536171573322142492e-02,-1.814907526926978982e-03,9.981703757345231631e-01,0.000000000000000000e+00,-4.527413188918228970e-01,-5.753212160407004117e-01,-2.164153880901864002e-01,1.481526234153889010e-01,-1.230245335355897751e+00,5.699999999999999512e-01,-5.699999999999999512e-01,4.346932489694559365e-01,-4.755095594919080959e-01,3.346632520925808540e-01,1.898048362471887462e-01,5.699999999999999512e-01
2.774625595544466528e-01,-5.924708996088597086e-19,2.200000000000000011e-01,3.136827967301508702e-02,1.600172053079028725e-02,-5.022580108480527092e-04,9.993796694486538623e-01,0.000000000000000000e+00,-4.722096412187795078e-01,-7.568125744537165245e-01,-4.411821257611529996e-03,1.876001577024541955e-01,-1.122294707903108701e+00,5.699999999999999512e-01,-5.699999999999999512e-01,3.564780260691653435e-01,-6.237432099729752766e-01,4.229643707170325784e-01,4.195720172671926207e-01,4.694925067936409624e-01
3.110835649420676252e-01,-2.019159905271916850e-18,2.200000000000000011e-01,1.520335344132045692e-02,-1.851356356108085910e-02,2.815490626920381088e-04,9.997129721767811228e-01,0.000000000000000000e+00,-4.664516716323978129e-01,-9.502174046699536358e-01,2.944267462636248056e-01,2.484240198715725600e-01,-9.206802189306089179e-01,5.699999999999999512e-01,-5.699999999999999512e-01,2.415259378877531726e-01,-7.033010993227191143e-01,5.316328731114314810e-01,6.671867771052956142e-01,2.804206276169392276e-02
